337925.4921,-56376.8685,315.5764
337926.1037,-56364.3986,315.6377
337926.719,-56351.9624,315.6992
337927.3543,-56339.4493,315.7612
337927.9824,-56327.0007,315.824
337928.6361,-56314.4877,315.8876
337929.2709,-56301.9315,315.9525
337929.9189,-56289.4521,316.0187
337930.609,-56276.9421,316.0867
337931.2649,-56264.4667,316.1565
337931.9169,-56251.9477,316.2284
337932.5599,-56239.4725,316.3027
337933.2124,-56226.9296,316.3791
337933.8625,-56214.4794,316.4573
337934.5082,-56201.9523,316.537
337935.1466,-56189.4081,316.618
337935.792,-56177.0212,316.7001
337936.456,-56164.4737,316.7828
337937.0828,-56151.9318,316.866
337937.7181,-56139.4968,316.9493
337938.3746,-56126.9528,317.0326
337939.0168,-56114.4464,317.1155
337939.6578,-56101.8685,317.1978
337940.3169,-56089.4183,317.2794
337940.9759,-56076.9613,317.3601
337941.609,-56064.4794,317.4397
337942.2513,-56051.8994,317.5179
337942.896,-56039.4465,317.5947
337943.5437,-56027.0023,317.6699
337944.1975,-56014.3999,317.7431
337944.8545,-56001.9514,317.8144
337945.5127,-55989.4427,317.8834
337946.1518,-55977.0013,317.9501
337946.8182,-55964.5257,318.0141
337947.4841,-55951.9192,318.0754
337948.1526,-55939.3948,318.1338
337948.7887,-55926.8835,318.189
337949.4488,-55914.3165,318.2408
337950.1326,-55901.8539,318.2892
337950.7813,-55889.3128,318.3339
337951.4542,-55876.802,318.3747
337952.0797,-55864.2607,318.4119
337952.7581,-55851.713,318.4459
337953.4186,-55839.2531,318.4768
337954.0806,-55826.749,318.505
337954.7268,-55814.2854,318.5309
337955.3943,-55801.7191,318.555
337956.062,-55789.2471,318.5775
337956.7295,-55776.788,318.5989
337957.3823,-55764.2811,318.6197
337958.0335,-55751.823,318.6402
337958.676,-55739.302,318.6606
337959.3364,-55726.7934,318.6742
337959.9964,-55714.3682,318.683
337960.643,-55701.8065,318.6891
337961.3016,-55689.349,318.6944
337961.9355,-55676.8134,318.7011
337962.5725,-55664.3498,318.7089
337963.2351,-55651.7509,318.7177
337963.8772,-55639.2018,318.7273
337964.5206,-55626.8528,318.7375
337965.2024,-55614.2311,318.7483
337965.8658,-55601.7456,318.7594
337966.5323,-55589.2735,318.7707
337967.1918,-55576.7919,318.7823
337967.8504,-55564.2558,318.7941
337968.5431,-55551.7002,318.806
337969.1987,-55539.2749,318.818
337969.8643,-55526.766,318.8301
337970.5301,-55514.2367,318.8422
337971.1784,-55501.79,318.8542
337971.8149,-55489.2661,318.8663
337972.4688,-55476.7409,318.8783
